evidence,handicap,komi,w_id,w_mu,w_cat,l_id,l_mu,l_cat
0.9999999705196492,0,6.5,15,-3.63444,3k,44,-20.5,20k
0.9668137750261306,0,6.5,15,-3.63444,3k,22,-7.5,7k
0.8873114469859993,0,6.5,14,-2.95521,3k,20,-4.73875,4k
0.999999708942766,0,6.5,17,-4.31813,3k,44,-20.5,20k
3.94130821134352e-06,0,6.5,27,-12.611,12k,17,-4.31813,3k
0.999999899775118,0,6.5,17,-4.31813,3k,26,-14.0587,14k
0.9999999919894285,0,6.5,38,-3.46772,3k,26,-14.0587,14k
0.9999997796994298,0,6.5,18,-4.88059,5k,44,-20.5,20k
0.4326252575390985,0,6.5,18,-4.88059,5k,20,-4.73875,4k
0.9999999860525352,0,6.5,20,-4.73875,4k,26,-14.0587,14k
0.9999999849723479,0,6.5,14,-2.95521,3k,44,-20.5,20k
0.9999999920227741,0,6.5,7,2.45666,2d,25,-9.16911,9k
0.9999997020111504,0,6.5,43,-2.5,2k,27,-12.611,12k
0.9999602974744668,0,6.5,7,2.45666,2d,14,-2.95521,3k
0.999999219970667,0,6.5,7,2.45666,2d,22,-7.5,7k
0.7227891001674532,0,6.5,43,-2.5,2k,15,-3.63444,3k
0.9996274817217513,0,6.5,43,-2.5,2k,25,-9.16911,9k
0.9999999920228024,0,6.5,9,3.38555,3d,27,-12.611,12k
0.9999999915209811,0,6.5,9,3.38555,3d,18,-4.88059,5k
0.9999999868989206,0,6.5,9,3.38555,3d,19,-5.20567,5k
0.9999999919828567,0,6.5,42,7.5,7d,14,-2.95521,3k
0.9993122336901855,0,6.5,42,7.5,7d,7,2.45666,2d
0.9999999920197671,0,6.5,42,7.5,7d,38,-3.46772,3k
0.9999999920227846,0,6.5,42,7.5,7d,20,-4.73875,4k
0.4827458083913733,0,6.5,6,3.41564,3d,9,3.38555,3d
0.9999987630557626,0,6.5,6,3.41564,3d,17,-4.31813,3k
0.9994989064070452,0,6.5,6,3.41564,3d,43,-2.5,2k
0.9999999415045133,0,6.5,6,3.41564,3d,15,-3.63444,3k
0.6072855877199829,0,6.5,36,-8.49921,8k,25,-9.16891,9k
0.4396886282492502,0,6.5,7,2.45718,2d,8,2.58697,2d
0.9325211951730615,0,6.5,20,-5.02937,4k,17,-7.2661,7k
0.9999980404189958,0,6.5,37,1.5653,1d,20,-5.02937,4k
0.9999999918770527,0,6.5,8,2.58697,2d,17,-7.2661,7k
0.2331837232500041,0,6.5,37,1.5653,1d,8,2.58697,2d
0.9999998825084426,0,6.5,8,2.58697,2d,20,-5.02937,4k
0.7183519145708731,0,6.5,7,2.45718,2d,37,1.5653,1d
0.7000986448299311,0,0.5,15,-3.679,3k,18,-4.89213,4k
0.8567970104701066,0,0.5,14,-2.9351,3k,18,-4.89213,4k
0.036904353849689965,0,6.5,17,-7.28739,4k,18,-4.89213,4k
3.7208707825333295e-14,4,0.5,15,-3.679,3k,9,3.19408,2d
0.9980055476870163,4,0.5,9,3.19408,2d,18,-4.89213,4k
0.2567466382819121,0,0.5,21,-5.54774,5k,18,-4.89213,4k
0.003982402958487079,3,0.5,21,-5.54774,5k,50,-2.5,2k
0.08494285080991071,0,0.5,18,-4.89213,4k,15,-3.679,3k
0.6878622698294106,0,6.5,14,-2.9351,3k,15,-3.679,3k
0.922583874824388,3,0.5,10,1.51177,1d,15,-3.679,3k
6.466865760877758e-09,4,0.5,27,-9.6483,9k,18,-4.89213,4k
9.724113155793703e-08,3,0.5,15,-3.679,3k,10,1.51177,1d
0.8567970104701066,0,0.5,14,-2.9351,3k,18,-4.89213,4k
0.9385557468700447,4,0.5,10,1.51177,1d,18,-4.89213,4k
0.6878622698294106,0,6.5,14,-2.9351,3k,15,-3.679,3k
0.9536278055546159,4,0.5,7,2.66987,2d,15,-3.679,3k
6.466865760877758e-09,4,0.5,27,-9.6483,9k,18,-4.89213,4k
0.663163780642306,0,0.5,7,2.66987,2d,10,1.51177,1d
0.9999964106675596,0,6.5,48,2.5,2d,20,-5.01803,3k
0.9999999920113913,0,6.5,48,2.5,2d,27,-8.88719,9k
0.9971222487645525,0,6.5,20,-5.01803,3k,27,-8.88719,9k
0.9943442433401641,0,6.5,13,-4.0449,4k,30,-8.848,7k
0.996901949830851,0,6.5,18,-5.22313,4k,27,-8.88737,10k
0.9695708993840924,0,6.5,52,-4.5,4k,23,-8.26159,7k
0.9444098033236474,0,6.5,20,-5.018,4k,55,-8.5,8k
0.8855269215881392,0,6.5,6,3.60601,3d,49,1.5,1d
0.9049836063494291,0,6.5,21,-4.5794,5k,22,-7.50167,7k
0.9999900077342436,0,6.5,47,2.5,2d,19,-4.82499,3k
0.8320529726734283,0,6.5,14,-2.68403,3k,35,-4.13008,4k
0.6994938825272051,0,6.5,50,-2.89415,2k,15,-3.81064,3k
0.4031067644904679,0,6.5,49,1.5,1d,8,1.83373,2d
0.5734469441805894,0,6.5,9,2.89149,2d,45,2.5,2d
0.9726132046646776,0,6.5,34,1.10618,1d,51,-2.5,2k
0.9999549277920993,0,6.5,7,2.83309,2d,53,-4.5,4k
0.7325313500141519,0,6.5,6,3.60601,3d,48,2.5,1d
0.7351313943698893,0,6.5,23,-8.26159,7k,25,-9.3464,9k
0.4818197506725597,0,6.5,45,2.5,2d,46,2.5,2d
0.46001601754254096,0,6.5,35,-4.13008,4k,13,-4.0449,4k
0.44103930297312677,0,6.5,55,-8.5,8k,23,-8.26159,7k
0.8714695197802554,0,6.5,54,-6.5,6k,27,-8.88737,10k
0.6866738247493671,0,6.5,6,3.60601,3d,9,2.89149,2d
0.3974209125567405,0,6.5,48,2.5,1d,7,2.83309,2d
0.37311127673373834,0,6.5,53,-4.5,4k,16,-3.95577,3k
0.9999862448701505,0,6.5,34,1.10618,1d,22,-7.50167,7k
0.4880246144346878,0,6.5,30,-8.848,7k,27,-8.88737,10k
0.5602346427787701,0,6.5,51,-2.5,2k,50,-2.89415,2k
0.28943454857793466,0,6.5,49,1.5,1d,47,2.5,2d
