player,day,mean,variance,skill
o0,0,-385.47150199097933,172.59474830296324,-400
o1,0,-337.3362187480084,148.52889093295494,-360
o2,0,-315.37908894375136,136.98666830873907,-320
o3,0,-271.12246340488053,123.3703773713141,-280
o4,0,-242.19193226728393,115.11960851849976,-240
o5,0,-193.3093393250604,106.53668278462017,-200
o6,0,-160.40058058595537,101.30186201601559,-160
o7,0,-122.5245196972778,96.83264098475404,-120
o8,0,-65.33044620599813,92.82807014242077,-80
o9,0,-45.99458986958775,90.39810655039963,-40
o10,0,-14.738596887312664,88.03978246916316,0
o11,0,47.3921612968706,90.48515803010142,40
o12,0,73.83939765771792,93.30806038468624,80
o13,0,122.34389190799241,97.20647897017764,120
o14,0,153.13090744476435,101.3873085790297,160
o15,0,202.85543683461242,107.98546674482797,200
o16,0,242.6724665764832,115.82159207380843,240
o17,0,281.0811982729753,125.60056387474087,280
o18,0,311.47476696614785,136.29826496877303,320
o19,0,356.05219899353534,154.7317975048481,360
o20,0,379.5356744369722,170.15432813129144,400
