player,day,mean,variance,skill
o0,0,-356.8703543608624,336.0778538337985,-400
o1,0,-338.9742172293182,307.372279161384,-360
o2,0,-292.86539211390476,270.99871813914115,-320
o3,0,-250.30479086911492,245.33350186817327,-280
o4,0,-224.26430586441234,230.34764019596187,-240
o5,0,-179.03155707162455,213.67579646626382,-200
o6,0,-149.7054529851338,204.23364025878996,-160
o7,0,-80.32611483194492,192.93214198177222,-120
o8,0,-66.32580049959957,187.6367869088675,-80
o9,0,-41.692850772606306,182.3317784092111,-40
o10,0,27.44384635093911,182.32841317310155,0
o11,0,32.51665690709133,187.45246163965132,40
o12,0,115.11296691748818,197.38285552575863,80
o13,0,142.89061398537459,205.77147957139618,120
o14,0,182.94535003984748,218.02581341645444,160
o15,0,209.97665328963868,229.9825896954398,200
o16,0,285.40818108553543,262.1507601781059,240
o17,0,302.73729308751575,278.3908116432512,280
o18,0,341.27482326526166,312.5279397817287,320
o19,0,366.03507743052506,344.2310180041111,360
