player,day,mean,variance,skill
o0,0,-376.4775878975447,431.8383510779608,-400
o1,0,-380.2339445242254,420.2917449930597,-360
o2,0,-296.90102543309155,343.88456755330856,-320
o3,0,-291.6877266181193,330.5731971569872,-280
o4,0,-201.66308246394885,288.41550559605645,-240
o5,0,-228.68123449874057,289.0558940828665,-200
o6,0,-153.13789568813178,265.2255133466992,-160
o7,0,-104.45638912704923,251.72437727001886,-120
o8,0,-48.939861775540834,241.06699909477706,-80
o9,0,-17.386034123048496,234.5116778365436,-40
o10,0,12.647466754475985,234.20096197668497,0
o11,0,74.48663213575666,242.03774806587452,40
o12,0,109.17505123313443,249.60385249830026,80
o13,0,141.29349245478755,259.8720492175533,120
o14,0,199.90978984316902,277.19516679715474,160
o15,0,232.50593434010733,295.046339707655,200
o16,0,312.749465415334,340.07839092103836,240
o17,0,281.8228869711054,332.2340041392111,280
o18,0,324.24056950067046,369.80018284603625,320
o19,0,395.45774941282866,452.9953087144773,360
