player,day,mean,variance,skill
o0,0,-320.3475701936498,1539.4274935658868,-400
o1,0,-252.20563494840178,1285.9125891251817,-360
o2,0,-279.18910637504564,1290.0883024936468,-320
o3,0,-234.1391377407564,1160.6919386335167,-280
o4,0,-186.67560365194822,1068.3789268209082,-240
o5,0,-196.6027517407212,1052.3740644507063,-200
o6,0,-146.96634797419293,982.876024762677,-160
o7,0,-166.6082083962505,976.1784559696188,-120
o8,0,-17.2231268831299,901.1684677280053,-80
o9,0,-70.33543025857132,880.3600064119548,-40
o10,0,56.476386043987915,883.9228977735975,0
o11,0,7.927461480516296,902.315861482348,40
o12,0,109.87121195919208,960.6028333627952,80
o13,0,136.51082130254596,1001.6696069899375,120
o14,0,191.95462083907339,1078.1447290987257,160
o15,0,239.9424486318333,1177.2097886909623,200
o16,0,254.31562555663305,1234.2247279654541,240
o17,0,275.1867009286861,1317.2284464585966,280
o18,0,328.4039094902526,1498.329657514707,320
o19,0,310.94500444946397,1528.0080959003735,360
