player,day,mean,variance,skill
o0,0,-430.1345286305492,209.62389512152504,-400
o1,0,-376.17969111209817,177.25107336340326,-360
o2,0,-336.8550018017609,158.98441129531474,-320
o3,0,-306.60589099682045,146.5589224390038,-280
o4,0,-244.75325024016652,131.6465127703633,-240
o5,0,-206.45871047857983,123.68045470892245,-200
o6,0,-174.54068574354713,118.12807789165369,-160
o7,0,-130.36999062064484,112.56592519170499,-120
o8,0,-89.12411130466263,108.32624063534115,-80
o9,0,-29.517440802126423,104.41722137863736,-40
o10,0,5.2475753898286595,101.94888674745748,0
o11,0,49.2706260288301,104.09047856074443,40
o12,0,97.56136996348877,107.23145507122706,80
o13,0,118.13876724517691,110.26327330886026,120
o14,0,170.6584503951243,115.47788473940899,160
o15,0,207.71213172582264,121.58264695479491,200
o16,0,268.7812431370927,133.05796580203753,240
o17,0,285.72298764203356,139.75412280436052,280
o18,0,326.9315606368771,153.70419157680854,320
o19,0,349.0099947519618,165.7044961047692,360
o20,0,418.6208268571344,203.01983186785483,400
