player,day,mean,variance,skill
o0,0,-422.04738091014934,264.0040808428654,-400
o1,0,-367.7660145736215,222.19776928271847,-360
o2,0,-303.95828284029017,191.2312150699715,-320
o3,0,-290.4560658967431,181.21427451564094,-280
o4,0,-261.53610006332565,170.15227190737016,-240
o5,0,-216.5557845187427,158.30674638366185,-200
o6,0,-169.42669815121792,149.28816675504075,-160
o7,0,-140.18520526196372,143.45706946222128,-120
o8,0,-72.45794493477577,137.31857955238945,-80
o9,0,-57.068792836624745,134.27461476259367,-40
o10,0,9.37085790035284,131.07028885961515,0
o11,0,34.85208798979128,134.0498403193561,40
o12,0,89.7487720742449,138.51198007876224,80
o13,0,112.83904013340467,143.19542208688466,120
o14,0,190.97949073541136,152.78228082628922,160
o15,0,214.4191884246425,159.1996705245841,200
o16,0,255.1438027978518,169.98922238866274,240
o17,0,278.66732743165494,179.89162226660218,280
o18,0,331.7399893318468,200.67592406260573,320
o19,0,389.91063862795346,234.1323458404449,360
o20,0,413.8143795702704,257.1836974570005,400
