player,day,mean,variance,skill
o0,0,-389.62122041520985,227.5339247858421,-400
o1,0,-336.38424386832133,192.590454778939,-360
o2,0,-314.39720307964427,178.3245760582329,-320
o3,0,-257.0603327415904,156.95842441800363,-280
o4,0,-224.16161283464476,146.16206734431367,-240
o5,0,-181.6169949717345,136.62525048677415,-200
o6,0,-152.02562192353065,130.24916471139636,-160
o7,0,-97.10116047169436,122.93035011154932,-120
o8,0,-50.43941618566193,118.00890270236796,-80
o9,0,-18.749851742582784,114.86921658572257,-40
o10,0,18.082861323214804,114.78348316332584,0
o11,0,57.708084412151095,118.087065609286,40
o12,0,115.93292663968707,123.52419569483683,80
o13,0,130.62466206541572,127.37153713925618,120
o14,0,182.2134468685586,135.6218823045832,160
o15,0,241.81748820939688,148.5786027843417,200
o16,0,268.28526633605964,158.70056871980034,240
o17,0,278.1028886572991,166.2483336127716,280
o18,0,325.9874548120436,187.89898434411896,320
o19,0,399.9435215441231,234.11836227985,360
