player,day,mean,variance,skill
o0,0,-396.2063251758927,250.2046626499013,-400
o1,0,-372.2137799844402,227.75499691335412,-360
o2,0,-334.75229761550185,203.89074074275962,-320
o3,0,-291.9368703075812,183.76747648316032,-280
o4,0,-227.06745736734024,164.71118609389393,-240
o5,0,-195.09604896696283,155.50241869291995,-200
o6,0,-174.26429658237925,148.80494815122213,-160
o7,0,-109.08285544379136,140.02977417452817,-120
o8,0,-91.400688415996,136.25386479845304,-80
o9,0,-47.518619359119405,131.66580072128247,-40
o10,0,-0.4257079955443057,127.87380767927304,0
o11,0,57.37837279762103,131.20627144152496,40
o12,0,92.96709047104927,135.02498245190188,80
o13,0,125.12853214781475,139.55935617751848,120
o14,0,169.00817625345906,146.25735706615455,160
o15,0,198.36102247816711,153.65415761943254,200
o16,0,223.15589663129222,161.75678917237173,240
o17,0,274.80608187421467,176.82127138798435,280
o18,0,346.0828235164718,206.8956238654574,320
o19,0,353.562117784461,217.29936093209196,360
o20,0,381.5833730024837,240.9451796707257,400
