player,day,mean,variance,skill
o0,0,-354.5369882542271,849.0052490386829,-400
o1,0,-344.6983869937555,796.1677315717989,-360
o2,0,-280.5969771036747,671.4580295318817,-320
o3,0,-285.58215761263494,657.7198036578652,-280
o4,0,-213.32469447144584,565.7208193805706,-240
o5,0,-128.49292212279624,509.39861859997603,-200
o6,0,-112.29423831024859,490.95840502478137,-160
o7,0,-93.25878020027149,475.2252737775876,-120
o8,0,-57.899636731051224,457.5358861750939,-80
o9,0,-23.68417791956373,443.3052186234352,-40
o10,0,-9.430516205840242,442.73817973021687,0
o11,0,70.30124266154947,461.07231972639323,40
o12,0,83.73914547742817,474.4077699112359,80
o13,0,160.11472902360924,511.99965503402706,120
o14,0,109.77599931542088,508.35543901279397,160
o15,0,214.11127381261022,569.7236606259736,200
o16,0,270.5326756304025,641.1354760354471,240
o17,0,320.8563432663841,730.4717081460848,280
o18,0,325.96995054280364,766.8086555538526,320
o19,0,359.73284661092555,864.0495366285288,360
