player,day,mean,variance,skill
o0,0,-411.9035460047621,302.6249922968157,-400
o1,0,-360.92499240123476,257.70234103436917,-360
o2,0,-327.723310018699,233.47583074527523,-320
o3,0,-292.9801897826532,213.23890033523347,-280
o4,0,-235.2829087898869,192.82538183450848,-240
o5,0,-227.79460632884005,186.39260361175855,-200
o6,0,-150.774650972241,171.50348542624906,-160
o7,0,-119.926898410618,165.25974044867894,-120
o8,0,-80.7547669279977,159.51642355997095,-80
o9,0,-55.97375406831043,155.2742416470987,-40
o10,0,9.101434239849398,150.75879809891995,0
o11,0,38.874026949122964,154.2701461844057,40
o12,0,88.40781939074908,159.26876520621343,80
o13,0,109.29887971719049,164.02966475680108,120
o14,0,174.06514535101772,173.27591624100617,160
o15,0,205.25811426864675,182.04541099416232,200
o16,0,257.9542008573474,196.68103891080224,240
o17,0,301.24791381365316,215.19438053426543,280
o18,0,328.4088070526612,232.40094195694806,320
o19,0,367.8521361242206,260.3034172512522,360
o20,0,377.81516969078956,276.46836407642513,400
