player,day,mean,variance,skill
o0,0,-364.824871252396,422.93013701845183,-400
o1,0,-379.68006251366626,421.56395848927264,-360
o2,0,-318.2632516238843,356.5211208320547,-320
o3,0,-265.8435215148704,317.902322122125,-280
o4,0,-218.13830643566237,291.9093439664199,-240
o5,0,-199.76346058109144,279.74937375970785,-200
o6,0,-169.42251760168648,265.8358712354562,-160
o7,0,-72.7245463373555,246.4403375160914,-120
o8,0,-66.71382960754552,240.0173034967936,-80
o9,0,-19.754524480401,232.86896157668707,-40
o10,0,18.782654807130537,232.64218837916525,0
o11,0,66.0930653464023,240.3262985065435,40
o12,0,99.06682896934862,247.5939248486936,80
o13,0,153.0975254832359,260.4084798133579,120
o14,0,194.2153534817586,275.7036120812755,160
o15,0,242.3995872643668,298.462863827399,200
o16,0,257.0857367250464,312.3735674887026,240
o17,0,285.783986007589,335.190697897014,280
o18,0,345.2934768055635,389.8829827842496,320
o19,0,408.0083660014351,473.2643141945074,360
