player,day,mean,variance,skill
o0,0,-363.8205253361497,284.1706386771256,-400
o1,0,-337.2116490325987,255.69412553563868,-360
o2,0,-286.8458391869964,224.02517770946434,-320
o3,0,-278.2985919528167,214.31928829157368,-280
o4,0,-232.41310891157013,194.42163746269586,-240
o5,0,-166.4764750060719,176.67837874641936,-200
o6,0,-132.81463664918448,168.23118423395803,-160
o7,0,-99.72159043988844,161.9804976977144,-120
o8,0,-65.24853652700904,156.72903777644046,-80
o9,0,-24.25088535546085,152.44103432251603,-40
o10,0,10.812749113448952,152.51563858416145,0
o11,0,46.702688554807786,157.54754733942517,40
o12,0,104.97859175985752,164.97373074343227,80
o13,0,154.49841076397723,174.71643528285503,120
o14,0,164.3873899999489,180.37622893991912,160
o15,0,205.59057120623953,192.34150410201812,200
o16,0,261.04948071469465,212.59188739417803,240
o17,0,328.59056063978886,246.7276233966141,280
o18,0,357.1409807698266,271.5634310660687,320
o19,0,397.51940534898887,311.8502887416503,360
