player,day,mean,variance,skill
o0,0,-380.2598433636644,176.57772303461113,-400
o1,0,-353.6936742549185,158.9147465620407,-360
o2,0,-340.2177960262472,149.3595335233158,-320
o3,0,-266.0245830556952,127.39260405841152,-280
o4,0,-222.7716360890673,117.40348726117537,-240
o5,0,-173.92288296809545,109.18197572410918,-200
o6,0,-137.81034898675827,103.88763532452276,-160
o7,0,-101.30898995321223,99.4406077044825,-120
o8,0,-57.446429528141664,95.86048039949969,-80
o9,0,-17.04875163654152,93.11490361722107,-40
o10,0,0.8569419916816922,93.04381697945823,0
o11,0,43.68944160475066,95.73751574930877,40
o12,0,106.14767845535292,99.73308399491512,80
o13,0,163.63337908812326,105.22898442494026,120
o14,0,198.39707077938644,111.0077245279731,160
o15,0,228.10820599993897,117.54333731087424,200
o16,0,271.6393587624426,128.11032539009713,240
o17,0,297.0451876036284,137.66793526323715,280
o18,0,354.6575199827927,159.31792745282766,320
o19,0,389.8836092682048,180.43381733741742,360
