player,day,mean,variance,skill
o0,0,-364.925669686786,290.4162939969599,-400
o1,0,-333.3006904200028,258.02662215169767,-360
o2,0,-297.543588392993,230.3335450769438,-320
o3,0,-236.61303694226078,201.61953925786304,-280
o4,0,-202.58551295298454,187.34226331203962,-240
o5,0,-158.76962517495207,174.22484049023186,-200
o6,0,-143.86693975524298,168.20491900917506,-160
o7,0,-97.5858733743414,159.77089087901206,-120
o8,0,-54.60541746338111,153.4112141560252,-80
o9,0,-29.24773724993091,148.7646874743014,-40
o10,0,17.722954589780336,148.60181169916402,0
o11,0,61.12618705094634,153.68485953304082,40
o12,0,86.79324939641626,158.9467214789417,80
o13,0,133.3979099604497,167.0375970908361,120
o14,0,174.70755808562583,177.56954595828407,160
o15,0,199.99198020852452,187.70431404436417,200
o16,0,281.4359660983289,217.0922938571758,240
o17,0,299.3632200748786,231.41253166811313,280
o18,0,320.0801178405418,250.33129565645612,320
o19,0,351.39039082929656,280.3931188993067,360
