player,day,mean,variance,skill
o0,0,-393.47884620107726,444.70039272938413,-400
o1,0,-350.4575126522053,385.7713023306066,-360
o2,0,-343.47597548748115,365.8321855547077,-320
o3,0,-276.21242555561645,313.24106980485595,-280
o4,0,-226.79560178746314,285.2902430446741,-240
o5,0,-182.76324330701098,265.68453692474543,-200
o6,0,-152.60173898180327,252.0768560348249,-160
o7,0,-127.79355172094655,242.52105884657087,-120
o8,0,-63.95820024660791,231.09707894338118,-80
o9,0,-30.65238198375688,224.28671872158506,-40
o10,0,6.024177165574762,219.32424141457767,0
o11,0,38.95319440025455,224.9099214671515,40
o12,0,67.57340797769524,231.62628305594325,80
o13,0,100.0487512475367,239.07859621244882,120
o14,0,162.19787949909477,253.69990281631658,160
o15,0,194.5895827295543,267.8700593949117,200
o16,0,213.57508883349212,281.5253774797331,240
o17,0,287.7580293437902,319.59543107797896,280
o18,0,316.8977911803346,346.6878354608395,320
o19,0,351.28241834133155,386.20594834052247,360
o20,0,414.6988550082082,471.2475743100447,400
