player,day,mean,variance,skill
o0,0,-382.70410082340936,210.55675192986698,-400
o1,0,-386.62850088259523,203.6628894770534,-360
o2,0,-333.94232818179904,176.4589269655944,-320
o3,0,-296.7478473986472,160.4931692301706,-280
o4,0,-240.1527081869905,145.16422265870412,-240
o5,0,-216.2377434843617,138.1689605209317,-200
o6,0,-150.64632546739549,128.81315113189282,-160
o7,0,-130.9699057799566,124.7916570403864,-120
o8,0,-89.53690556480201,120.0494544299552,-80
o9,0,-45.96615920789628,116.47854997637948,-40
o10,0,9.441764829014145,113.86795636917066,0
o11,0,29.685450786505847,116.87811940084235,40
o12,0,92.5721386502059,120.63960941103439,80
o13,0,112.77935590645993,124.19533854662573,120
o14,0,170.92762815556543,130.78735881026262,160
o15,0,211.3027381932158,138.34288492667866,200
o16,0,258.35511910278916,148.89434131470628,240
o17,0,302.869810553508,163.06363893112587,280
o18,0,314.20641162139384,171.09886335982569,320
o19,0,370.37467955554456,196.59419527272823,360
o20,0,418.5935553550968,229.3278777935512,400
