player,day,mean,variance,skill
o0,0,-374.78768836833194,846.2202189881799,-400
o1,0,-313.3442632209257,722.6692739661286,-360
o2,0,-311.95842661691836,696.1842935668586,-320
o3,0,-299.1130798926274,662.2033816440486,-280
o4,0,-266.75256981620424,614.605093767589,-240
o5,0,-223.7434646023583,570.5785853854909,-200
o6,0,-100.25451327717755,514.8357725157364,-160
o7,0,-136.72426314964352,510.9331213660308,-120
o8,0,-66.74726092493295,485.1483877180602,-80
o9,0,-19.98798598737316,469.6701970382572,-40
o10,0,15.092557187480299,469.04617383008775,0
o11,0,89.9849836178665,486.8797131093677,40
o12,0,109.20579251310215,502.8922973030865,80
o13,0,151.5473026893646,524.7836746065592,120
o14,0,187.67672164937977,549.1760816696207,160
o15,0,244.08927417262572,593.3292413198615,200
o16,0,272.2782361322888,630.0635527586351,240
o17,0,328.5579681593094,719.4193582153802,280
o18,0,331.27857384941285,744.5055837995222,320
o19,0,377.31382552237363,855.6551247563921,360
