player,day,mean,variance,skill
o0,0,-399.5471708304271,290.20115394995963,-400
o1,0,-372.60769471945196,261.7305310058822,-360
o2,0,-332.9579279329474,232.96971921646977,-320
o3,0,-261.36793941685335,203.15496626119952,-280
o4,0,-259.6796514771709,197.34327502257887,-240
o5,0,-211.480813587266,182.53645870661023,-200
o6,0,-159.33061206007815,171.90814290752823,-160
o7,0,-122.43171105277507,165.03457563609663,-120
o8,0,-109.85222627084902,160.62504317059668,-80
o9,0,-44.93679868771025,155.31262504371554,-40
o10,0,-13.62865063830135,152.21037012584182,0
o11,0,43.215732886232544,156.44325645236543,40
o12,0,78.29547140186742,161.07060635216752,80
o13,0,144.63305477959457,169.00899235335996,120
o14,0,180.58159438786686,177.3439405043429,160
o15,0,194.6377684178119,183.41922895804964,200
o16,0,260.5523048665264,200.55178870168467,240
o17,0,285.80781179091434,213.2574533425398,280
o18,0,320.63070360556543,231.95617390502557,320
o19,0,385.99811783313476,271.56441504730554,360
o20,0,432.93778497791357,317.4201037696594,400
