player,day,mean,variance,skill
o0,0,-411.06092747386356,609.6577243597908,-400
o1,0,-384.6516304849809,549.9251655541393,-360
o2,0,-273.04569760606756,429.3112709750668,-320
o3,0,-283.73423479961696,420.32865750415124,-280
o4,0,-268.5417820203011,401.0821465300258,-240
o5,0,-174.89855499962985,353.7221599508553,-200
o6,0,-144.88945805049735,338.1716094213117,-160
o7,0,-119.52456549650415,325.5054703733583,-120
o8,0,-97.31465630432118,316.30503149875244,-80
o9,0,-61.518699452611976,305.8290529341096,-40
o10,0,-14.193432138180935,296.47810052595025,0
o11,0,67.41203240139063,305.0000764144363,40
o12,0,70.621182878882,311.2486768181415,80
o13,0,114.26133868213127,324.8298425090336,120
o14,0,190.37630540500354,347.77911604750267,160
o15,0,196.03657662028704,356.97878629014326,200
o16,0,247.3359161150941,387.3129624265335,240
o17,0,275.3404764105166,414.359060115643,280
o18,0,348.5894235061724,485.5791864681277,320
o19,0,340.5868377780032,493.7278693851427,360
o20,0,368.2825117263199,543.6624256175525,400
