,player,day,mean,variance,intra
0,c0p0,1,97,10864.033747868962,1
1,c0p1,1,32,30479.65023707681,1
2,c0p2,1,32,30479.65023707681,1
3,c1p0,1,-97,10864.033747868962,1
4,c1p1,1,-32,30479.65023707681,1
5,c1p2,1,-32,30479.65023707681,1
0,c0p0,1,94,9053.361456557468,2
1,c0p1,1,47,20219.173919645014,2
2,c0p2,1,47,20219.173919645014,2
3,c1p0,1,-94,9053.361456557468,2
4,c1p1,1,-47,20219.173919645014,2
5,c1p2,1,-47,20219.173919645014,2
0,c0p0,1,92,7846.24659568314,3
1,c0p1,1,55,15088.935760929115,3
2,c0p2,1,55,15088.935760929115,3
3,c1p0,1,-92,7846.24659568314,3
4,c1p1,1,-55,15088.935760929115,3
5,c1p2,1,-55,15088.935760929115,3
0,c0p0,1,91,6940.910450027393,4
1,c0p1,1,61,12071.148608743293,4
2,c0p2,1,61,12071.148608743293,4
3,c1p0,1,-91,6940.910450027393,4
4,c1p1,1,-61,12071.148608743293,4
5,c1p2,1,-61,12071.148608743293,4
0,c0p0,1,90,6035.574304371647,5
1,c0p1,1,64,10260.4763174318,5
2,c0p2,1,64,10260.4763174318,5
3,c1p0,1,-90,6035.574304371647,5
4,c1p1,1,-64,10260.4763174318,5
5,c1p2,1,-64,10260.4763174318,5
0,c0p0,1,89,5733.795589153064,6
1,c0p1,1,67,8751.582741338885,6
2,c0p2,1,67,8751.582741338885,6
3,c1p0,1,-89,5733.795589153064,6
4,c1p1,1,-67,8751.582741338885,6
5,c1p2,1,-67,8751.582741338885,6
0,c0p0,1,89,5130.2381587159,7
1,c0p1,1,69,7544.467880464557,7
2,c0p2,1,69,7544.467880464557,7
3,c1p0,1,-89,5130.2381587159,7
4,c1p1,1,-69,7544.467880464557,7
5,c1p2,1,-69,7544.467880464557,7
0,c0p0,1,89,4828.459443497317,8
1,c0p1,1,71,6639.1317348088105,8
2,c0p2,1,71,6639.1317348088105,8
3,c1p0,1,-89,4828.459443497317,8
4,c1p1,1,-71,6639.1317348088105,8
5,c1p2,1,-71,6639.1317348088105,8
0,c0p0,1,88,4224.902013060152,9
1,c0p1,1,72,6035.574304371647,9
2,c0p2,1,72,6035.574304371647,9
3,c1p0,1,-88,4224.902013060152,9
4,c1p1,1,-72,6035.574304371647,9
5,c1p2,1,-72,6035.574304371647,9
0,c0p0,1,88,3923.12329784157,10
1,c0p1,1,73,5432.016873934481,10
2,c0p2,1,73,5432.016873934481,10
3,c1p0,1,-88,3923.12329784157,10
4,c1p1,1,-73,5432.016873934481,10
5,c1p2,1,-73,5432.016873934481,10
0,c0p0,1,88,3923.12329784157,11
1,c0p1,1,74,5130.2381587159,11
2,c0p2,1,74,5130.2381587159,11
3,c1p0,1,-88,3923.12329784157,11
4,c1p1,1,-74,5130.2381587159,11
5,c1p2,1,-74,5130.2381587159,11
0,c0p0,1,88,3621.344582622987,12
1,c0p1,1,75,4526.680728278734,12
2,c0p2,1,75,4526.680728278734,12
3,c1p0,1,-88,3621.344582622987,12
4,c1p1,1,-75,4526.680728278734,12
5,c1p2,1,-75,4526.680728278734,12
0,c0p0,1,87,3319.5658674044053,13
1,c0p1,1,76,4224.902013060152,13
2,c0p2,1,76,4224.902013060152,13
3,c1p0,1,-87,3319.5658674044053,13
4,c1p1,1,-76,4224.902013060152,13
5,c1p2,1,-76,4224.902013060152,13
0,c0p0,1,87,3319.5658674044053,14
1,c0p1,1,77,3923.12329784157,14
2,c0p2,1,77,3923.12329784157,14
3,c1p0,1,-87,3319.5658674044053,14
4,c1p1,1,-77,3923.12329784157,14
5,c1p2,1,-77,3923.12329784157,14
0,c0p0,1,87,3017.7871521858233,15
1,c0p1,1,77,3923.12329784157,15
2,c0p2,1,77,3923.12329784157,15
3,c1p0,1,-87,3017.7871521858233,15
4,c1p1,1,-77,3923.12329784157,15
5,c1p2,1,-77,3923.12329784157,15
0,c0p0,1,87,3017.7871521858233,16
1,c0p1,1,78,3621.344582622987,16
2,c0p2,1,78,3621.344582622987,16
3,c1p0,1,-87,3017.7871521858233,16
4,c1p1,1,-78,3621.344582622987,16
5,c1p2,1,-78,3621.344582622987,16
0,c0p0,1,87,2716.0084369672404,17
1,c0p1,1,78,3319.5658674044053,17
2,c0p2,1,78,3319.5658674044053,17
3,c1p0,1,-87,2716.0084369672404,17
4,c1p1,1,-78,3319.5658674044053,17
5,c1p2,1,-78,3319.5658674044053,17
0,c0p0,1,87,2716.0084369672404,18
1,c0p1,1,78,3319.5658674044053,18
2,c0p2,1,78,3319.5658674044053,18
3,c1p0,1,-87,2716.0084369672404,18
4,c1p1,1,-78,3319.5658674044053,18
5,c1p2,1,-78,3319.5658674044053,18
0,c0p0,1,87,2414.2297217486584,19
1,c0p1,1,79,3017.7871521858233,19
2,c0p2,1,79,3017.7871521858233,19
3,c1p0,1,-87,2414.2297217486584,19
4,c1p1,1,-79,3017.7871521858233,19
5,c1p2,1,-79,3017.7871521858233,19
0,c0p0,1,87,2414.2297217486584,20
1,c0p1,1,79,3017.7871521858233,20
2,c0p2,1,79,3017.7871521858233,20
3,c1p0,1,-87,2414.2297217486584,20
4,c1p1,1,-79,3017.7871521858233,20
5,c1p2,1,-79,3017.7871521858233,20
0,c0p0,1,87,2414.2297217486584,21
1,c0p1,1,79,2716.0084369672404,21
2,c0p2,1,79,2716.0084369672404,21
3,c1p0,1,-87,2414.2297217486584,21
4,c1p1,1,-79,2716.0084369672404,21
5,c1p2,1,-79,2716.0084369672404,21
0,c0p0,1,87,2112.451006530076,22
1,c0p1,1,80,2716.0084369672404,22
2,c0p2,1,80,2716.0084369672404,22
3,c1p0,1,-87,2112.451006530076,22
4,c1p1,1,-80,2716.0084369672404,22
5,c1p2,1,-80,2716.0084369672404,22
0,c0p0,1,87,2112.451006530076,23
1,c0p1,1,80,2414.2297217486584,23
2,c0p2,1,80,2414.2297217486584,23
3,c1p0,1,-87,2112.451006530076,23
4,c1p1,1,-80,2414.2297217486584,23
5,c1p2,1,-80,2414.2297217486584,23
0,c0p0,1,87,2112.451006530076,24
1,c0p1,1,80,2414.2297217486584,24
2,c0p2,1,80,2414.2297217486584,24
3,c1p0,1,-87,2112.451006530076,24
4,c1p1,1,-80,2414.2297217486584,24
5,c1p2,1,-80,2414.2297217486584,24
0,c0p0,1,87,2112.451006530076,25
1,c0p1,1,80,2414.2297217486584,25
2,c0p2,1,80,2414.2297217486584,25
3,c1p0,1,-86,2112.451006530076,25
4,c1p1,1,-80,2414.2297217486584,25
5,c1p2,1,-80,2414.2297217486584,25
0,c0p0,1,86,1810.6722913114936,26
1,c0p1,1,80,2112.451006530076,26
2,c0p2,1,80,2112.451006530076,26
3,c1p0,1,-86,1810.6722913114936,26
4,c1p1,1,-80,2112.451006530076,26
5,c1p2,1,-80,2112.451006530076,26
0,c0p0,1,86,1810.6722913114936,27
1,c0p1,1,81,2112.451006530076,27
2,c0p2,1,81,2112.451006530076,27
3,c1p0,1,-86,1810.6722913114936,27
4,c1p1,1,-81,2112.451006530076,27
5,c1p2,1,-81,2112.451006530076,27
0,c0p0,1,86,1810.6722913114936,28
1,c0p1,1,81,2112.451006530076,28
2,c0p2,1,81,2112.451006530076,28
3,c1p0,1,-86,1810.6722913114936,28
4,c1p1,1,-81,2112.451006530076,28
5,c1p2,1,-81,2112.451006530076,28
0,c0p0,1,86,1810.6722913114936,29
1,c0p1,1,81,2112.451006530076,29
2,c0p2,1,81,2112.451006530076,29
3,c1p0,1,-86,1810.6722913114936,29
4,c1p1,1,-81,2112.451006530076,29
5,c1p2,1,-81,2112.451006530076,29
0,c0p0,1,86,1810.6722913114936,30
1,c0p1,1,81,1810.6722913114936,30
2,c0p2,1,81,1810.6722913114936,30
3,c1p0,1,-86,1810.6722913114936,30
4,c1p1,1,-81,1810.6722913114936,30
5,c1p2,1,-81,1810.6722913114936,30
0,c0p0,1,86,1810.6722913114936,31
1,c0p1,1,81,1810.6722913114936,31
2,c0p2,1,81,1810.6722913114936,31
3,c1p0,1,-86,1810.6722913114936,31
4,c1p1,1,-81,1810.6722913114936,31
5,c1p2,1,-81,1810.6722913114936,31
0,c0p0,1,86,1508.8935760929116,32
1,c0p1,1,81,1810.6722913114936,32
2,c0p2,1,81,1810.6722913114936,32
3,c1p0,1,-86,1508.8935760929116,32
4,c1p1,1,-81,1810.6722913114936,32
5,c1p2,1,-81,1810.6722913114936,32
0,c0p0,1,86,1508.8935760929116,33
1,c0p1,1,81,1810.6722913114936,33
2,c0p2,1,81,1810.6722913114936,33
3,c1p0,1,-86,1508.8935760929116,33
4,c1p1,1,-81,1810.6722913114936,33
5,c1p2,1,-81,1810.6722913114936,33
0,c0p0,1,86,1508.8935760929116,34
1,c0p1,1,82,1810.6722913114936,34
2,c0p2,1,82,1810.6722913114936,34
3,c1p0,1,-86,1508.8935760929116,34
4,c1p1,1,-81,1810.6722913114936,34
5,c1p2,1,-81,1810.6722913114936,34
0,c0p0,1,86,1508.8935760929116,35
1,c0p1,1,82,1810.6722913114936,35
2,c0p2,1,82,1810.6722913114936,35
3,c1p0,1,-86,1508.8935760929116,35
4,c1p1,1,-82,1810.6722913114936,35
5,c1p2,1,-82,1810.6722913114936,35
0,c0p0,1,86,1508.8935760929116,36
1,c0p1,1,82,1508.8935760929116,36
2,c0p2,1,82,1508.8935760929116,36
3,c1p0,1,-86,1508.8935760929116,36
4,c1p1,1,-82,1508.8935760929116,36
5,c1p2,1,-82,1508.8935760929116,36
0,c0p0,1,86,1508.8935760929116,37
1,c0p1,1,82,1508.8935760929116,37
2,c0p2,1,82,1508.8935760929116,37
3,c1p0,1,-86,1508.8935760929116,37
4,c1p1,1,-82,1508.8935760929116,37
5,c1p2,1,-82,1508.8935760929116,37
0,c0p0,1,86,1508.8935760929116,38
1,c0p1,1,82,1508.8935760929116,38
2,c0p2,1,82,1508.8935760929116,38
3,c1p0,1,-86,1508.8935760929116,38
4,c1p1,1,-82,1508.8935760929116,38
5,c1p2,1,-82,1508.8935760929116,38
0,c0p0,1,86,1508.8935760929116,39
1,c0p1,1,82,1508.8935760929116,39
2,c0p2,1,82,1508.8935760929116,39
3,c1p0,1,-86,1508.8935760929116,39
4,c1p1,1,-82,1508.8935760929116,39
