,player,day,mean,variance,intra
2,c0p2,1,110,2716.0084369672404,22
3,c1p0,1,-120,301.7787152185823,22
4,c1p1,1,-110,2716.0084369672404,22
5,c1p2,1,-110,2716.0084369672404,22
0,c0p0,1,120,301.7787152185823,23
1,c0p1,1,111,2414.2297217486584,23
2,c0p2,1,111,2414.2297217486584,23
3,c1p0,1,-120,301.7787152185823,23
4,c1p1,1,-111,2414.2297217486584,23
5,c1p2,1,-111,2414.2297217486584,23
0,c0p0,1,120,301.7787152185823,24
1,c0p1,1,111,2414.2297217486584,24
2,c0p2,1,111,2414.2297217486584,24
3,c1p0,1,-120,301.7787152185823,24
4,c1p1,1,-111,2414.2297217486584,24
5,c1p2,1,-111,2414.2297217486584,24
0,c0p0,1,120,301.7787152185823,25
1,c0p1,1,111,2414.2297217486584,25
2,c0p2,1,111,2414.2297217486584,25
3,c1p0,1,-120,301.7787152185823,25
4,c1p1,1,-111,2414.2297217486584,25
5,c1p2,1,-111,2414.2297217486584,25
0,c0p0,1,120,301.7787152185823,26
1,c0p1,1,112,2112.451006530076,26
2,c0p2,1,112,2112.451006530076,26
3,c1p0,1,-120,301.7787152185823,26
4,c1p1,1,-112,2112.451006530076,26
5,c1p2,1,-112,2112.451006530076,26
0,c0p0,1,120,301.7787152185823,27
1,c0p1,1,112,2112.451006530076,27
2,c0p2,1,112,2112.451006530076,27
3,c1p0,1,-120,301.7787152185823,27
4,c1p1,1,-112,2112.451006530076,27
5,c1p2,1,-112,2112.451006530076,27
0,c0p0,1,120,301.7787152185823,28
1,c0p1,1,112,2112.451006530076,28
2,c0p2,1,112,2112.451006530076,28
3,c1p0,1,-120,301.7787152185823,28
4,c1p1,1,-112,2112.451006530076,28
5,c1p2,1,-112,2112.451006530076,28
0,c0p0,1,120,301.7787152185823,29
1,c0p1,1,112,2112.451006530076,29
2,c0p2,1,112,2112.451006530076,29
3,c1p0,1,-120,301.7787152185823,29
4,c1p1,1,-112,2112.451006530076,29
5,c1p2,1,-112,2112.451006530076,29
0,c0p0,1,120,301.7787152185823,30
1,c0p1,1,113,1810.6722913114936,30
2,c0p2,1,113,1810.6722913114936,30
3,c1p0,1,-120,301.7787152185823,30
4,c1p1,1,-113,1810.6722913114936,30
5,c1p2,1,-113,1810.6722913114936,30
0,c0p0,1,120,301.7787152185823,31
1,c0p1,1,113,1810.6722913114936,31
2,c0p2,1,113,1810.6722913114936,31
3,c1p0,1,-120,301.7787152185823,31
4,c1p1,1,-113,1810.6722913114936,31
5,c1p2,1,-113,1810.6722913114936,31
0,c0p0,1,120,301.7787152185823,32
1,c0p1,1,113,1810.6722913114936,32
2,c0p2,1,113,1810.6722913114936,32
3,c1p0,1,-120,301.7787152185823,32
4,c1p1,1,-113,1810.6722913114936,32
5,c1p2,1,-113,1810.6722913114936,32
