,repetitions,ecm_sqrt,log_probability
0,10,37.3711118378889,-100.33235136326006
1,10,42.67376243079581,-103.27427277556275
2,10,45.94670826076663,-106.4723292355632
3,10,36.254654873546926,-100.8778221300681
4,10,35.04425773218774,-99.4705345190646
5,10,38.86579473007081,-102.21042170154954
6,10,41.838379509727666,-104.04262026775163
7,10,38.711755320574134,-103.10132400770972
8,10,41.38538389335056,-104.33446218738608
9,10,33.62662635472075,-99.38694004529853
10,10,35.59494346111537,-99.52179607556802
11,10,41.701318923986086,-102.75693089263824
12,10,41.557189510360296,-103.61323331589747
13,10,34.85828452462915,-97.24156764710254
14,10,37.491999146484574,-101.45639490367269
15,10,39.50316443020736,-101.25835539689723
16,10,44.502247134274015,-105.42941258925885
17,10,39.8911017646793,-102.42725706359236
18,10,48.32701108076104,-109.71662986886935
19,10,42.477641177447694,-103.25474706600579
20,20,28.386616564853234,-96.27869689040837
21,20,33.54027429822243,-100.30973366057977
22,20,30.287786317259965,-96.2784098011684
23,20,37.4492990588609,-106.61730739076339
24,20,29.687539473657967,-96.35356543193907
25,20,32.28854285965844,-101.25502532004019
26,20,32.75362575349483,-101.56425730227917
27,20,29.997499895824653,-96.24717146283848
28,20,29.493219559756444,-99.73958333954121
29,20,30.22498966087499,-96.94975282884131
30,20,25.590037123849587,-93.1274156598183
31,20,31.35043859342322,-99.0138797549701
32,20,27.868440932352136,-95.39425324257438
33,20,30.14465126684998,-96.39995704040577
34,20,26.300190113381312,-94.17725653436473
35,20,28.309892264012593,-96.52522774369925
36,20,35.41821565240124,-102.66498790008214
37,20,32.89908813325986,-101.2790495458533
38,20,32.372055850687026,-98.92217920271631
39,20,25.983648704521848,-93.9052581156761
40,30,35.57456956872423,-106.90228021610994
41,30,25.275482191246127,-96.41139101170185
42,30,24.19194080680589,-94.91721185175011
43,30,25.483327883147442,-94.9793434702323
44,30,27.07858932810201,-97.89178037473701
45,30,25.985572920372565,-97.85864351154653
46,30,27.73625785862253,-99.58205376739134
