,player,day,mean,variance,intra
0,c0p0,1,117,1810.6722913114936,1
1,c0p1,1,39,30781.428952295395,1
2,c0p2,1,39,30781.428952295395,1
3,c1p0,1,-117,1810.6722913114936,1
4,c1p1,1,-39,30781.428952295395,1
5,c1p2,1,-39,30781.428952295395,1
0,c0p0,1,117,1810.6722913114936,2
1,c0p1,1,58,20520.9526348636,2
2,c0p2,1,58,20520.9526348636,2
3,c1p0,1,-117,1810.6722913114936,2
4,c1p1,1,-58,20520.9526348636,2
5,c1p2,1,-58,20520.9526348636,2
0,c0p0,1,117,1508.8935760929116,3
1,c0p1,1,70,15390.714476147697,3
2,c0p2,1,70,15390.714476147697,3
3,c1p0,1,-117,1508.8935760929116,3
4,c1p1,1,-70,15390.714476147697,3
5,c1p2,1,-70,15390.714476147697,3
0,c0p0,1,116,1508.8935760929116,4
1,c0p1,1,78,12372.927323961872,4
2,c0p2,1,78,12372.927323961872,4
3,c1p0,1,-116,1508.8935760929116,4
4,c1p1,1,-78,12372.927323961872,4
5,c1p2,1,-78,12372.927323961872,4
0,c0p0,1,116,1508.8935760929116,5
1,c0p1,1,83,10260.4763174318,5
2,c0p2,1,83,10260.4763174318,5
3,c1p0,1,-116,1508.8935760929116,5
4,c1p1,1,-83,10260.4763174318,5
5,c1p2,1,-83,10260.4763174318,5
0,c0p0,1,116,1508.8935760929116,6
1,c0p1,1,87,8751.582741338885,6
2,c0p2,1,87,8751.582741338885,6
3,c1p0,1,-116,1508.8935760929116,6
4,c1p1,1,-87,8751.582741338885,6
5,c1p2,1,-87,8751.582741338885,6
0,c0p0,1,116,1508.8935760929116,7
1,c0p1,1,91,7544.467880464557,7
2,c0p2,1,91,7544.467880464557,7
3,c1p0,1,-116,1508.8935760929116,7
4,c1p1,1,-91,7544.467880464557,7
5,c1p2,1,-91,7544.467880464557,7
0,c0p0,1,116,1508.8935760929116,8
1,c0p1,1,93,6639.1317348088105,8
2,c0p2,1,93,6639.1317348088105,8
3,c1p0,1,-116,1508.8935760929116,8
4,c1p1,1,-93,6639.1317348088105,8
5,c1p2,1,-93,6639.1317348088105,8
0,c0p0,1,116,1508.8935760929116,9
1,c0p1,1,95,6035.574304371647,9
2,c0p2,1,95,6035.574304371647,9
3,c1p0,1,-116,1508.8935760929116,9
4,c1p1,1,-95,6035.574304371647,9
5,c1p2,1,-95,6035.574304371647,9
0,c0p0,1,116,1508.8935760929116,10
1,c0p1,1,97,5432.016873934481,10
2,c0p2,1,97,5432.016873934481,10
3,c1p0,1,-116,1508.8935760929116,10
4,c1p1,1,-97,5432.016873934481,10
5,c1p2,1,-97,5432.016873934481,10
0,c0p0,1,116,1207.1148608743292,11
1,c0p1,1,98,5130.2381587159,11
