player,day,mean,variance
2,1,3.427316758756349,97.76211111928131
2,3,3.128014808613525,30251.51714948812
1,1,-3.4273167587564077,97.76211111928131
1,3,-3.1280148086135826,30251.51714948812
3,4,-32.02810267607136,48.94568463576271
3,5,-31.983983827293553,27737.553182865762
4,4,175.36470045952214,48.9539640982174
4,5,175.42604996114412,40247.181115790976
5,5,-136.52975301438968,45366.84418461653
23,1490,-127.94575723940456,9425.17125349737
23,1605,-138.37868078729895,7093.4559913610165
23,1723,-130.2639567032103,7323.7738877802985
23,1809,-122.37791551818202,6959.01116265478
23,1853,-124.29940778583187,7040.236903753272
23,1980,-137.4317104644076,7757.791237498483
23,2106,-127.71707352278918,7649.288378172777
23,2169,-122.03607150195195,6769.950778280895
23,2190,-113.06964558772987,6617.033994336404
23,2225,-100.78493998515616,6336.554683479728
23,2288,-96.57122140602792,6297.73025269131
23,2310,-102.3202908113827,6366.854141078842
23,2409,-117.21591201885873,6052.967962253083
23,2442,-122.08109782792178,6053.667903027416
23,2454,-123.62436034318355,6015.502879398963
23,2498,-119.04140078334024,6700.32055514469
23,2526,-121.69199924963571,7097.183919709654
23,2726,-122.23298796457611,7529.6920700495575
23,2775,-121.78814887206093,7727.8193021078005
23,2834,-121.04020646379846,8588.401766225863
23,2862,-112.23106389408606,9227.42984855293
18,1490,-45.281259173847914,4263.08212575428
18,1510,-46.68244586160897,4076.1068905647717
18,1512,-47.03917328496365,4064.067013406681
18,1589,-75.22078219950194,3354.151037851615
18,1605,-74.65194702618822,3267.6285170071515
18,1644,-73.46906942636902,3384.333162418409
18,1707,-39.627158361407616,3291.3286288719332
18,1721,-30.171926927171985,3239.0282007156247
18,1748,-21.550377476861577,3092.1798553535436
18,1770,-16.78063713025034,2941.729385353897
18,1826,-16.98657592132138,3160.596065248656
18,1853,-15.094897565259012,3234.3487928643435
18,1883,-16.55861004199293,3251.3699293224436
18,1924,-6.645393941737922,3203.102039831854
18,1980,17.833777178921398,3175.3818952645224
18,2043,33.756381825955884,3080.910804894291
18,2099,20.956872585860637,2884.8044728247255
18,2106,18.873036971534933,2809.7774638459423
18,2112,15.954174036844371,2841.4648191214083
18,2162,-3.70536956291063,2945.4083733166344
18,2169,-5.6566080330474415,2936.1652005134433
18,2190,-1.0087881251447794,3043.896998227574
18,2225,-3.6933991005384126,3007.4305505962693
18,2288,-4.265955832307299,3003.631850282878
18,2310,-3.2615098630816846,3015.9981190479607
18,2351,1.5565058979745556,2865.2518479486644
18,2379,7.02998789810777,2583.1181119548733
18,2442,7.542143226220244,2423.715425714952
18,2449,6.907672383269112,2539.741605767748
18,2498,7.203496522592171,3024.3689901923826
18,2512,5.149935134018115,3182.0185870945875
18,2526,0.7797110232842223,3359.0029656841944
18,2596,1.4033170377401463,4217.717792534953
18,2611,-3.772881792235837,4317.883559906216
18,2722,-49.49641861899333,5274.002114723502
18,2775,-56.804871459444406,5408.957611620691
18,2813,-59.41238089049157,5594.237570319679
18,2834,-59.879887730671335,5764.419128663537
18,2862,-52.361886772010074,6740.523051952276
21,1490,98.50455248851628,11969.424168948732
21,1589,108.1378780449617,8821.152237021224
21,1605,106.26231006760742,8445.067705292257
21,1826,110.63700088517794,6813.865509560503
21,1853,105.8167728032466,6271.329200473137
21,1883,101.18595937724224,5792.050910788454
21,1924,96.85642914416233,5661.63484930071
21,2036,107.8258229193801,5101.492040635151
21,2043,109.16039323110166,5005.239424979509
21,2106,121.58564712514756,4444.051223800793
21,2112,126.10441466160422,4446.0476631736465
21,2169,165.80790609785356,4639.307836102673
21,2190,175.97454454190773,4558.7511774661025
21,2225,189.1616609582734,4291.436972295267
21,2247,194.27099111129004,4165.071538563408
21,2288,205.97031723239704,4300.937586163131
21,2310,216.69174991336288,4373.979092165216
21,2351,229.72319714719148,4429.959136399825
21,2379,231.2150529756729,4457.407403397346
21,2409,235.8558850500265,4353.31132818748
21,2442,234.89311952003402,4365.494943650103
21,2498,242.78328047582434,4837.894343524586
21,2512,241.88612596917588,4923.8774310257295
21,2565,229.89920004936988,5240.90170899826
21,2611,226.88252616977354,5440.692249367166
21,2722,259.51448020632233,6648.64334934955
21,2834,263.0920488581515,7385.375617654649
21,2862,267.6295472155596,8102.486767287708
6,1490,526.0392291507331,8422.653619994473
6,1510,532.6645809355864,7736.806567402925
6,1512,533.2927279275926,7699.3356072287925
6,1605,544.1497699446971,6460.673148567332
6,1644,533.3654739656973,6761.928863700405
6,1770,517.4681923054368,6640.603244939
6,1826,521.3308882283477,6605.604271674713
6,1883,518.5482143513468,6287.161950295093
6,1924,511.9430617016521,6522.138537581304
6,1980,502.6100801263942,6368.290329871947
6,2043,493.2593692166527,6462.793472418791
6,2106,499.53302371200857,5977.928901494601
6,2112,501.5155857408655,5912.209947857325
6,2169,522.4697763694696,5599.705368388007
6,2183,528.0843111349154,5560.659418093425
6,2190,529.7234145211418,5583.996316319704
6,2225,534.7957967735927,5707.951098556704
6,2247,536.0940043537056,5755.129155812324
6,2310,535.091758695578,6524.633371289553
6,2351,531.9510975466845,6812.089770915067
6,2379,527.1551359499416,7022.230231168121
6,2409,529.6924089834216,7159.384697079497
6,2442,520.9597058732064,7792.305622731136
6,2512,534.5128129361816,9271.836246865145
6,2611,543.1209495600208,11424.4747170957
