id,black_mean,black_variance,white_mean,white_variance,evidence
0,0.0,60235.272498719016,0.0,60235.272498719016,0.46950389533533626
1,99.75688548649669,45495.38456098609,-99.7568854864966,45495.384560986065,0.30615287807616387
2,0.0,60235.272498719016,0.0,60235.272498719016,0.48691940123308697
3,95.13743941209164,45647.772855032046,-95.13743941209162,45647.772855032046,0.6860284965470007
4,0.0,60235.272498719016,-95.13743941209162,35881.66886934031,0.39866407897611267
22,0.0,60235.272498719016,0.0,60235.272498719016,0.48691939366772985
23,0.0,60235.272498719016,0.0,60235.272498719016,0.5217937746228145
24,0.0,60235.272498719016,0.0,60235.272498719016,0.5217937746228145
25,0.0,40252.723936612194,0.0,60235.272498719016,0.5137869314297544
27,0.0,40252.723936612194,0.0,40208.501875369104,0.5243768191381293
28,0.0,40208.501875369104,0.0,40208.501875369104,0.5146343310284616
30,0.0,40208.501875369104,0.0,60235.272498719016,0.522972520536608
21,0.0,40252.723936612194,0.0,60235.272498719016,0.4770303086081043
31,0.0,40252.723936612194,0.0,60235.272498719016,0.5137869314297544
32,0.0,40208.501875369104,0.0,40208.501875369104,0.514634338593416
33,0.0,40252.723936612194,0.0,40252.723936612194,0.5243734017198289
34,0.0,40208.501875369104,0.0,40252.723936612194,0.4756231808618707
29,0.0,40208.501875369104,0.0,40208.501875369104,0.48536566897153843
20,0.0,60235.272498719016,0.0,40252.723936612194,0.5137869314297544
26,0.0,60235.272498719016,0.0,40208.501875369104,0.522972520536608
18,0.0,60235.272498719016,0.0,40208.501875369104,0.48621136908373497
19,0.0,40252.723936612194,0.0,40252.723936612194,0.48536977636287193
5,0.0,40252.723936612194,0.0,60235.272498719016,0.5137869314297544
6,0.0,60235.272498719016,0.0,60235.272498719016,0.5130806063322702
7,0.0,40208.501875369104,0.0,60235.272498719016,0.5137886384815282
9,0.0,40252.723936612194,0.0,40208.501875369104,0.5243768191381293
10,0.0,40208.501875369104,0.0,40208.501875369104,0.48536566897153843
11,0.0,40208.501875369104,0.0,40208.501875369104,0.5243802380919793
8,0.0,40208.501875369104,0.0,40252.723936612194,0.48536772312896936
13,0.0,40208.501875369104,0.0,40252.723936612194,0.5146322768710306
14,0.0,40208.501875369104,0.0,40208.501875369104,0.5243802380919793
15,0.0,40252.723936612194,0.0,40208.501875369104,0.5146322768710306
16,0.0,40208.501875369104,0.0,40208.501875369104,0.48536566897153843
17,0.0,40208.501875369104,0.0,40252.723936612194,0.5243768191381293
12,0.0,40208.501875369104,0.0,40252.723936612194,0.5146322844359863
57,0.0,60235.272498719016,0.0,60235.272498719016,0.513080598766913
63,254.16498986088254,38581.39601277571,103.69435551833601,28448.672424130138,0.33639131266831135
58,0.0,60235.272498719016,0.0,60235.272498719016,0.513080598766913
59,-232.88068603320167,40575.475832669916,-98.92114320627799,29005.949727298128,0.3816029959982745
60,0.0,60235.272498719016,0.0,60235.272498719016,0.48691940123308697
61,0.0,60235.272498719016,0.0,60235.272498719016,0.513080598766913
