player,day,mean,variance
2,1,24.621355352686972,7.99845511953361
2,3,24.595091094290392,30967.18621787914
1,1,-24.621355352686923,7.99845511953361
1,3,-24.59509109429034,30967.18621787914
3,4,-34.66690226313025,3.9996427553154668
3,5,-34.66386585540696,27842.02204092476
4,4,173.94697629753233,3.9996968632920105
4,5,173.9523025617322,40207.109539782185
5,5,-132.21709672264083,45289.687149858124
8,1463,181.153749546128,6030.455384995347
8,1470,181.14545563148351,6009.552196352675
8,1538,181.45315859597994,5824.976718431207
8,1545,181.41858220273457,5808.408379904287
8,1552,181.32773597509922,5794.2529830894055
8,1553,181.3193734833778,5792.474351804311
8,1558,181.2896071112898,5791.168154828416
8,1573,181.03598356488178,5792.80925854781
8,1580,180.98514879594734,5796.096758978303
8,1587,180.8696567824127,5801.913114931568
8,1594,180.65729288994586,5810.258882385163
8,1799,171.69956603970905,6106.490583664391
8,1806,171.50451531227978,6118.188142818238
8,2245,166.22047896846018,6909.896660336608
8,2246,166.19573019279065,6912.206448155887
8,2247,166.19459496906694,6915.401406481937
7,1463,202.19206272199585,2077.875911751213
7,1470,202.3619998211676,2052.223341632403
7,1477,202.56765742030967,2027.196939203474
7,1484,202.7354191307463,2002.8080052682822
7,1510,203.77290685849533,1915.2916150001447
7,1511,203.80437004499254,1912.2608259422896
7,1538,204.31651682407843,1839.5446197719561
7,1545,204.3424607748751,1821.1772865742957
7,1552,204.29826723102101,1803.5178603939607
7,1553,204.28476744551358,1801.0875053771451
7,1558,204.11369211821952,1790.0725384898956
7,1573,203.75937754139926,1758.3213477233246
7,1580,203.5041488923955,1744.0589505861653
7,1587,203.29250710055766,1730.9296386272604
7,1609,202.5317469743393,1690.0576285827071
7,1617,202.22960432894797,1676.3312308063894
7,1631,201.70509123739515,1654.2463739397463
7,1680,199.60813237990413,1574.9004318513214
7,1687,199.273767910532,1563.2497219243166
7,1694,198.90460730115478,1551.884574714571
7,1721,197.94346940038633,1508.1737104573513
7,1743,198.35763141316843,1474.572087428661
7,1748,198.3557972046761,1466.8985805605814
7,1750,198.33285694217966,1464.351363022297
7,1757,198.21139326528993,1455.7995873180819
7,1799,197.24524425948405,1402.789034477839
7,1806,197.21624968907693,1393.5196502445096
7,1813,197.27003310806094,1384.830116515095
7,1820,197.44356095553567,1376.3774300526693
7,1832,198.01211969617225,1361.3719390709473
7,1839,198.30581674938134,1352.724017183364
7,1846,198.53811699486795,1344.4073955151216
7,1853,198.81404779821594,1336.3192434023526
7,1881,199.6559989803743,1303.6597489259425
7,1882,199.67039311819474,1302.5673812097773
7,1883,199.68180721598117,1301.6213083554858
7,1897,199.86872074171959,1289.9694921811538
7,1904,200.18248411271807,1284.8419883751992
7,1918,200.7012314773869,1274.9068131354452
7,1953,202.2017979290009,1250.3173435805165
7,1960,202.5261847349448,1245.7426440355237
7,1967,202.89764188819908,1241.7979745064279
7,1974,203.34340613648638,1238.2857011536137
7,2037,207.91633359581166,1199.2287732287607
7,2079,211.01381811035895,1170.0281090790131
7,2086,211.49749521564902,1164.8328920699653
7,2093,212.0095694059083,1160.4902320414517
7,2099,212.3898890748694,1157.1405749766882
7,2100,212.47326450536664,1156.7878211498708
7,2112,213.70481107053118,1154.8349426063971
7,2142,216.39580827037452,1152.945079804426
7,2149,217.1654204458339,1152.606028288963
7,2154,217.70522517379908,1152.277480954164
7,2161,218.39059148380886,1152.0540557601723
7,2162,218.47423727539166,1152.123358801369
7,2163,218.55633884156734,1152.3238193875661
7,2168,218.8656095506705,1153.3859033754823
7,2183,219.55678154902438,1156.5296540539553
7,2198,220.33125239858552,1158.9666994825732
7,2205,220.65507727405205,1160.0365388997661
