id,black_mean,black_variance,white_mean,white_variance,evidence
1,0.0,60235.272498719016,0.0,60235.272498719016,0.6688265049439663
2,51.88079000652639,48968.67188418502,-51.88079000652641,48968.67188418501,0.40489072055431097
3,0.0,60235.272498719016,0.0,60235.272498719016,0.5000000037826785
4,91.73149103061213,45781.85619823481,-91.73149103061209,45781.8561982348,0.6674850707233909
5,0.0,60235.272498719016,-91.73149103061209,35450.41499060852,0.415198885124601
14,0.0,60235.272498719016,0.0,60235.272498719016,0.4999999962173215
12,0.0,60235.272498719016,0.0,60235.272498719016,0.3633539367802855
11,0.0,42825.76522755629,0.0,60235.272498719016,0.5000000037826413
10,0.0,60235.272498719016,0.0,42825.76522755629,0.35729907041764297
13,0.0,60235.272498719016,0.0,60235.272498719016,0.3965724589365395
8,0.0,41716.84796939993,0.0,60235.272498719016,0.39156830773211304
7,0.0,60235.272498719016,0.0,60235.272498719016,0.3965724589365395
6,0.0,60235.272498719016,0.0,60235.272498719016,0.4999999962173215
9,0.0,42825.76522755629,0.0,41716.84796939993,0.5000000037825272
15,-91.73149103061209,45781.8561982348,-120.309013971171,45199.01582037283,0.32788342191871167
16,151.80326945240012,40631.68874872345,-98.06231154697026,23371.091283887214,0.7397737599617021
17,-98.06231154697025,20990.89038498409,0.0,60235.272498719016,0.5944925570253091
18,-98.06231154697025,20990.89038498409,0.0,60235.272498719016,0.43995509792927123
19,91.73149103061209,45781.8561982348,141.84320609739825,45493.28951697953,0.5471860145978054
20,-91.73149103061209,45781.8561982348,0.0,60235.272498719016,0.5824373531251648
21,141.84320609739825,33284.06308978656,0.0,41094.570564384034,0.6380839451423488
29,67.04000719090715,47367.097827270365,-184.17943774625402,20229.779900634814,0.7383114183543455
31,67.04000719090715,38198.34546006841,-185.2941804350258,40237.95611883389,0.15769237280974002
30,-184.17943774625402,18466.10235744426,67.19182829076237,47353.716226921424,0.7397004267423035
28,57.03264164077499,48362.73241265801,-184.17943774625402,18466.10235744426,0.1553149875229488
27,-254.76602616191033,55884.385622091075,-184.17943774625402,18466.10235744426,0.4117903875611495
25,57.032641640774976,42946.777171751375,166.08312820391959,39006.147441290705,0.4506555714844206
24,0.0,60235.272498719016,11.527910684750681,35467.14879611932,0.3645071675697369
23,-185.31763420319257,40323.28200892858,-184.17943774625402,18466.10235744426,0.6227989761232879
22,166.08312820391959,29705.141617679707,112.47875236800989,45241.50995843927,0.7020099615158963
26,166.08312820391959,29705.141617679707,67.04000719090715,38198.34546006841,0.5996228245770875
35,-161.34371701852677,12090.231814316057,-9.027243141120831,25887.969522960837,0.5088033564521014
32,293.187796900801,34940.27515720857,119.87056899755841,41940.75546130089,0.6656585499532026
33,-96.37553506651706,29570.633808637263,-161.34371701852677,11130.332157788618,0.30074081014097465
34,293.187796900801,28544.66666576157,-9.02724314112083,21421.57158979048,0.10916299281822361
63,0.0,60235.272498719016,0.0,60235.272498719016,0.4999999962173215
62,0.0,60235.272498719016,0.0,60235.272498719016,0.4999999962173215
61,0.0,60235.272498719016,0.0,60235.272498719016,0.5000000037826785
57,-101.2761599809201,8980.754217519838,73.59069252874954,27953.83018019853,0.6922706470179556
59,0.0,60235.272498719016,0.0,60235.272498719016,0.4999999962173215
58,0.0,60235.272498719016,0.0,60235.272498719016,0.4999999962173215
64,305.2171562659235,38366.597571199534,152.1901255970506,28044.658572247903,0.34770027217980215
60,-347.7701691117841,44279.67678363751,-183.53161541981137,29798.57053116311,0.34114451670802803
65,96.42104738170833,45602.07100793196,73.59069252874954,24102.976066076964,0.476932421483626
70,154.06736763793432,45912.332990134426,0.0,40183.58391725463,0.6442213175641649
67,0.0,40183.58391725463,56.07776374419141,19276.097636534672,0.44141751473710444
68,-101.2761599809201,9061.062998623887,203.54379011989909,19324.931587756968,0.8161490651391801
69,-347.7701691117841,34624.45363765928,0.0,40183.58391725463,0.19513052203150155
71,0.0,40183.58391725463,0.0,60235.272498719016,0.5000000037826318
72,-294.7060080642699,42226.87775907896,0.0,40183.58391725463,0.23803024720181457
73,0.0,40183.58391725463,0.0,40183.58391725463,0.49999999621752267
74,0.0,40183.58391725463,-183.53161541981137,25403.11076480802,0.6810191435696692
66,0.0,40183.58391725463,-21.648882883567754,21942.642909000853,0.5224692055875125
56,305.2171562659235,30960.122271637065,56.077763744191394,17155.403773553924,0.7516772285270508
45,305.2171562659235,30960.122271637065,0.0,40183.58391725463,0.7777028335754155
54,96.42104738170833,33715.80561846239,-101.2761599809201,9061.062998623887,0.29016193431031045
36,305.2171562659235,30960.122271637065,0.0,40183.58391725463,0.7777028335754155
37,0.0,40183.58391725463,73.59069252874954,24102.976066076964,0.5753403131719956
55,0.0,40183.58391725463,-21.648882883567765,19154.426550417043,0.47729865505020286
39,154.0673676379343,35565.09897739137,0.0,40183.58391725463,0.6487626244716596
40,0.0,40183.58391725463,0.0,40183.58391725463,0.49999999621752267
41,-183.53161541981137,25403.11076480802,0.0,40183.58391725463,0.6810191511332171
42,0.0,40183.58391725463,152.19012559705064,24075.610820817798,0.6526049052686123
43,96.42104738170833,33715.80561846239,203.54379011989909,18429.224725520733,0.6138227766176331
44,-347.7701691117841,34624.45363765928,-21.648882883567765,19154.426550417043,0.8069066833119549
38,0.0,40183.58391725463,56.077763744191394,17155.403773553924,0.5590478362917681
46,0.0,40183.58391725463,73.59069252874954,24102.976066076964,0.5753403131719956
47,0.0,40183.58391725463,0.0,40183.58391725463,0.49999999621752267
48,0.0,40183.58391725463,0.0,40183.58391725463,0.49999999621752267
49,0.0,40183.58391725463,203.54379011989909,18429.224725520733,0.29642619097550976
50,-347.7701691117841,34624.45363765928,0.0,40183.58391725463,0.19513052203150155
51,154.0673676379343,35565.09897739137,0.0,40183.58391725463,0.6487626244716596
52,-294.7060080642699,36356.5796267891,-183.53161541981137,25403.11076480802,0.613889824420379
53,56.077763744191394,17155.403773553924,152.19012559705064,24075.610820817798,0.3929274416319881
93,70.7735155068999,21872.228839907148,0.0,60235.272498719016,0.5683386840152934
94,70.7735155068999,18639.06116485738,-89.40050595888167,25165.725014892807,0.6724953039728124
95,-89.40050595888167,21516.37199909122,-150.55559887479052,17483.467256824824,0.569357921540151
96,-89.40050595888167,21516.37199909122,-48.233067840683795,8157.705239634109,0.4510504391922472
98,203.61795423222793,14283.183241135283,0.0,40731.001990708624,0.706136038300284
99,232.7014410278455,20680.543098699276,28.713442513806086,16146.152350174878,0.7208051289294173
103,226.9463002970638,38929.14989010598,0.0,60235.272498719016,0.6997524913536817
101,-227.58066620689647,17749.63019237236,226.9463002970638,31988.952580816673,0.11267115314681098
102,226.9463002970638,31988.952580816673,-295.2544557470479,25427.319875707904,0.9111338856403016
92,70.7735155068999,18639.06116485738,-295.2544557470479,24503.108042834003,0.8436323776031168
104,-48.2330678406838,7668.059107289054,0.0,45130.39031251294,0.44826358879869627
105,-48.2330678406838,7668.059107289054,28.7134425138061,14738.851179915126,0.40569206906687894
106,28.7134425138061,14738.851179915126,-295.2544557470479,24503.108042834003,0.8189170767913734
100,232.7014410278455,18414.298052286133,0.0,45130.39031251294,0.7257075828223762
91,98.2605302694332,13352.859176447851,-150.55559887479052,15341.866103042525,0.7699104499935266
