player,day,mean,variance
2,1,-20.438244921806145,199.03027335364516
2,3,-20.944820987820506,30824.951391601113
1,1,20.438244921806145,199.03027335364516
1,3,20.944820987820506,30824.951391601113
3,4,-34.67394849512267,99.777198600225
3,5,-34.59804435278476,27880.05934393324
4,4,173.93058160613532,99.81087616485227
4,5,174.0637113528024,40262.94653599533
5,5,-132.19421671171668,45289.33948699398
8,1463,349.19251994317733,14081.078627581539
8,1470,350.14377258669157,13674.809659771232
8,1538,367.0120044224872,9966.900440339232
8,1545,368.03637094705357,9574.600007394052
8,1552,368.06438495185785,9246.661300442702
8,1553,368.1518972091866,9205.797868626758
8,1558,370.26698960752026,9245.465610219386
8,1573,372.17141391281956,9516.87384803433
8,1580,374.33430029104545,9700.542752411622
8,1587,375.5857055458422,9940.559387460946
8,1594,374.8360912162628,10275.983175919377
8,1799,299.03946144938953,17208.0245078336
8,1806,297.6695992610598,17399.23491073213
8,2245,287.15001357250344,19035.4292684784
8,2246,286.797091499041,19041.420564158085
8,2247,286.8037282254376,19098.813044941046
7,1463,368.41806441795757,9328.044377398304
7,1470,373.71065705702694,8812.903398484821
7,1477,379.74540976027004,8345.502508389674
7,1484,384.775930172791,7933.193341274664
7,1510,410.0548653809515,6698.045418872099
7,1511,410.84256133208726,6672.412953975409
7,1538,424.66443131292084,6234.418928536905
7,1545,427.4500555423374,6077.647660790584
7,1552,429.2293725903536,5935.562059813266
7,1553,429.37628511957263,5918.068022162521
7,1558,428.0737048920158,5906.507648822859
7,1573,427.9553856675319,5890.357659888006
7,1580,426.9351185086788,5867.749308643558
7,1587,426.5650335703156,5925.323279152131
7,1609,422.7785328177246,5982.849128850417
7,1617,420.95147540968406,6036.870647646211
7,1631,417.3256596253382,6243.6894772927135
7,1680,397.0081584311287,6217.6627810007485
7,1687,392.99619956690816,6119.6542061249875
7,1694,387.85381673624863,6039.905864408844
7,1721,376.7844067646182,5621.338797035359
7,1743,392.1823674007816,5425.427469769311
7,1748,393.458795604204,5352.426908583405
7,1750,393.5735800752335,5362.375970832016
7,1757,392.26980039001495,5429.18464523954
7,1799,371.0840132298367,5512.874698531391
7,1806,369.82277873489807,5462.410287516433
7,1813,369.75822565008986,5471.679760956774
7,1820,371.74213225675896,5499.994084735931
7,1832,381.307580642664,5487.464887282889
7,1839,386.4505111721662,5444.608368514143
7,1846,390.65285709206336,5402.415199232539
7,1853,395.4585390881205,5347.272383616015
7,1881,409.34253591318173,4890.831918844989
7,1882,409.6044466687613,4871.4882435920545
7,1883,409.8174721964034,4861.563809532543
7,1897,414.2156252288088,4812.0586739508835
7,1904,420.61186186840627,4852.276822588649
7,1918,428.77251010966245,4949.609418307944
7,1953,446.71983228189947,4901.754516814442
7,1960,448.8536682705838,4903.628033896725
7,1967,450.92065693363867,4977.34936215428
7,1974,453.7042223559605,5108.328888436907
7,2037,488.50420254493577,4974.749514198607
7,2079,508.5464770711102,4232.1603865963525
7,2086,510.83090577713966,4040.2567470197187
7,2093,513.0601057729045,3896.7272414745676
7,2099,513.1909040798104,3790.3868502093997
7,2100,513.5494587298734,3790.8465766504332
7,2112,518.8380485736022,4029.367454041844
7,2142,529.4455424519681,4368.847127115383
7,2149,534.4584266817699,4381.880748187782
7,2154,537.6874495044312,4372.685474648805
7,2161,541.0274275816929,4354.060493730458
7,2162,541.376742310025,4352.421916599726
7,2163,541.7672246802317,4362.547779024018
7,2168,541.9185973342898,4430.3938975108995
7,2183,537.061112187548,4573.852032775015
7,2198,534.444237599018,4559.836488559115
7,2205,531.9787632851317,4525.406122301062
7,2211,528.7753781136497,4590.10110622092
7,2212,528.5996465370597,4604.282639814636
7,2239,523.6437629394497,4596.689530547016
7,2241,522.8095246749047,4579.976195924554
7,2245,519.3971904704475,4600.917563124592
7,2246,518.386386040918,4610.220182051463
7,2247,517.3428972843908,4627.470145437061
7,2260,506.9762140253873,4908.737743693445
7,2261,506.4100994753642,4931.275007659476
7,2268,505.130622923357,5114.082961382985
7,2295,510.5778786673038,5612.120065131518
7,2309,514.7265710349586,5688.5679341401255
7,2351,535.287860816953,5243.601426914807
7,2359,538.6923217210821,5097.422750952797
7,2373,541.7091589460159,4805.219011142185
7,2378,540.6328893169892,4750.092032223587
7,2384,538.6725108071793,4679.321414909992
7,2386,537.5304652224593,4662.550472978764
7,2389,537.2378331026429,4667.127237145857
7,2393,536.227074810211,4682.744281455632
7,2399,534.5230777480681,4683.926779027275
7,2407,531.05590469546,4673.7504853520895
7,2415,529.0383118039375,4648.9118224914
7,2422,523.6332615271314,4686.863563015368
7,2429,523.7355488970319,4779.337449802958
7,2436,520.2408777467645,4952.936895607113
7,2449,516.9728193046734,5258.688313810016
7,2471,523.4579512180853,5927.352668367685
7,2478,524.622736075522,6107.094700843599
7,2492,526.2503044539054,6399.484455523523
7,2539,541.0502248280159,6774.457854037973
7,2546,542.4221261660956,6743.670637913197
7,2553,545.387184795445,6751.767543955527
7,2560,548.0011755217864,6748.815009962487
7,2576,552.3159545799698,6712.361333110373
7,2609,565.7209606739709,6857.945134398052
7,2610,565.8750466449343,6865.616000016029
7,2611,566.0840791401714,6888.1427835418335
7,2722,592.831214001334,6540.155499418597
7,2728,590.2842423521911,6479.723260429453
7,2750,591.8796258963254,6649.510176566024
7,2757,591.0923344662679,6694.950372594395
